"FullName","Length","CreationTime","LastWriteTime","Extension"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.gitattributes","68","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".gitattributes"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.gitignore","296","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".gitignore"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.gitkeep","71","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".gitkeep"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\app.go","517","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE.md","12907","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE_REFACTOR_REPORT.md","4072","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\backup.go","2109","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\catalog.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\chain.go","1633","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CHANGELOG.md","13554","16/09/2026 04:58:45 p. m.","16/09/2026 06:38:50 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\compensation.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\compensation_test.go","2919","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\COMPONENTS.md","6510","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CONFORMANCE_MATRIX.md","2712","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CONTRACTS.md","9130","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\crypto_test.go","2299","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\dashboard.go","458","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\engine_test.go","5063","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\EVIDENCE.md","2044","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\executor.go","3534","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\file_clean.go","2563","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\file_observe.go","1498","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\FINAL_IMPLEMENTATION_REPORT.md","5569","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\go.mod","99","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".mod"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\go.sum","1001","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".sum"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\GOVERNANCE.md","5435","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\hashing.go","603","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\HISTORIAL DE ACTIVIDADES.MD","1320","16/09/2026 04:58:45 p. m.","16/09/2026 06:40:45 p. m.",".MD"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\index.html","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".html"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\keys.go","1310","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger.go","2296","16/09/2026 04:58:45 p. m.","16/09/2026 05:26:56 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger_test.go","1027","16/09/2026 04:58:45 p. m.","16/09/2026 05:26:56 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger_view.go","920","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\main.go","3423","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\MAP.md","5104","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\metadata.json","180","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".json"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\operations_test.go","4430","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\orderValidator.ts","789","16/09/2026 06:52:26 p. m.","16/09/2026 06:52:35 p. m.",".ts"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\P0_EXECUTION_REPORT.md","5025","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\package.json","509","16/09/2026 04:58:45 p. m.","16/09/2026 06:52:33 p. m.",".json"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\path_validator.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\persistence.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\plan.go","1249","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\plans_view.go","840","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\policy.go","683","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\PROJECTS.md","3278","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\README.md","2150","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REFRACTOR_VALIDATION_REPORT.md","5172","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\registry.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REQUIREMENTS.md","16191","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\restore.go","2623","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\risk.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
