"File","SHA256","Size","Status","Error"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.gitattributes","D8FB0DE4792538F93822B2C0D235604921299D5E54A3D6EC7A6CB34536E8BF1E","68","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.gitignore","916223D8FCAC7B68751B37EC5D08D80F7633F4CB28D85DA346D78EB07EC5A6FF","296","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.gitkeep","59F260A1DBF413C75B149FC09C4E0BC4AD58BF97DB2146921C103563D6428086","71","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\app.go","FC817468EA2ADCA5D33B91D58A04E1BD7922A773D48B9594A5578D4FF64AFA13","517","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE.md","5AC3EE79701E409A54808FB1807335F0FB3B9AF79C2E13B1E3A861BC75DF53BB","12907","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE_REFACTOR_REPORT.md","6DF7B95937EBC050650D9E16002D40E0DA59BE28EBDC6624160EF3E59B888C01","4072","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\backup.go","2B9FA4D7352B8D02D6BE0E9DBB6F3D286DD0BC21BE715893940FD1F46DF52F0F","2109","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\catalog.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\chain.go","1682647A1B9E707CD82616C977FAA594846808954BE049E2FCB30F1C4EE04870","1633","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CHANGELOG.md","A9AACB5DE1EC67ACBE1F547AF1D41245E75809209E55BDB3496F6DA91912CE09","13554","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\compensation.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\compensation_test.go","3A80674A33B683B5FD7AC9A8CE8CAB194E0EF9B37AAAE8A4F1BF814F23F2CA33","2919","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\COMPONENTS.md","E3D47FA235042714D830767B6A1AC02347BD2E2EA765662EF53A974149DB518E","6510","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CONFORMANCE_MATRIX.md","C66E75C91D45FA052636BCA936C9C6C2747C142FF2650D21BB013F4D17082A1E","2712","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CONTRACTS.md","39CE9765B5E247F5FDA1A76945260B5090FEC41983F4AA2E229BAA11F28214B3","9130","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\crypto_test.go","7B9963D26955700999255AE0C1D1CCFFB72F710DC09D645FE9D91F80741E7A13","2299","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\dashboard.go","FE2C8164803EFC237BFB20976A1963709AD50D41463F239FB7A6057323C3C520","458","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\engine_test.go","C30D4033CC066301478630618E68AD7D9EF00BEC2AB75B1821BAA380C227C118","5063","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\EVIDENCE.md","2BF919E1AE4D1FE2E0B46BE9A0DD3C7B28371BE796C892003EBE08A0D3AF6ED3","2044","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\executor.go","E2F32ED52F01E6600BC0CCC007FE824EA5AAFCBCCB39818446C0C7207B32D0D9","3534","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\file_clean.go","4F7703B1A8CF5B0AC2B2D1CA76E4BBF9341C51A60F8E8B14478C656458852D0F","2563","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\file_observe.go","FD147B36ADDC528253A6F64F320BBFB08A91EE3DE2BFB35B2D9FAE147D9EB76A","1498","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\FINAL_IMPLEMENTATION_REPORT.md","6C415A51B8191644461DBD0D260B21B1427E234F38A69B2A3ACF0763F8892570","5569","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\go.mod","518A87E96C4B16741F17A1B82FD75F180C375E87421E01E6B98249D5F166641F","99","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\go.sum","302E9E491CBCECB492383019C368943CF61EE4CC0584285556AE141F3FF04677","1001","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\GOVERNANCE.md","A364018022ECC011C1E983591EF51B6AC2B67C9E58E02BDB948F0F4A8D872C75","5435","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\hashing.go","0A1B82940CCA12C96C6509F6A579F284F1193F9B7B6703D4139DB5B18B4DE274","603","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\HISTORIAL DE ACTIVIDADES.MD","B4906AFAFC49D9A7BB472BAA6466676F915B5C041BE94702607CD60E5709F340","1320","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\index.html","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\keys.go","0214138AFA8B75DDE20F6D6FB98E415B7B0D2706FDEBCDEAD0663E9C781D5B8B","1310","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger.go","068A564FB2EFFD6731A4A9C99C4B4C5DE8ACCDA71B9AF9260C9A6226CF873875","2296","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger_test.go","42FC3AD9A91D969C7869D76B7A962BC79DBE9ACD81AA8DE094D21F205E6D5301","1027","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger_view.go","136AE526DB2AF55BAE5DF134CDE8C57AF73A1E8A6AF5DD7D7495074C37E14F69","920","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\main.go","2F1550E9DCD88B28C7B77AFDD786289176D726619CC7B51BFE83C37B4FEB5C73","3423","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\MAP.md","817D7A9B4242685350C71CFC3E0EC5326B27CE6A635BC31644D7F0BA78B433F3","5104","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\metadata.json","A82919B56D31BF74CDE525B72F2AFDDEB332F9AA978B3851EA8C6D53131B19EF","180","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\operations_test.go","07AADB752C80C6B13A1E32D944233C7C70706DCD8E080FA59A64DB9C48B2C5D5","4430","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\orderValidator.ts","3244DC25CFB95FD458A0BB3EAAD787CBDB1B38AD11FCCE4971225FA544D09D3C","789","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\P0_EXECUTION_REPORT.md","E5902E99DC8F8F8A7380217BE3C29E5B588BC98163A3F7719006BD1AD860F743","5025","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\package.json","B20724CB123B4664EC0DBFB978F70127729D970717F9BF4F0F7B8FFFCDA4AB14","509","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\path_validator.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\persistence.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\plan.go","74F1AAE6F8E6D3E55D8F492A5E1C6A3B5B5E94C3B93B299E027696FC7C8DDAEF","1249","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\plans_view.go","F0E8E8F6700F88497B7E61326C09BB5F728A95E2DB87E4C604318BAEEF5F0B62","840","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\policy.go","60A8538D222A3C4E7FD4BA1022EAC85CE6F76A6BF7B739CEAB5E7110DAE57A5D","683","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\PROJECTS.md","3469FEDD34E90909E174C7503B6D1D502150430B060E5443A2631DA435FB778E","3278","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\README.md","C30B899F55F78A22849912E28BBE76F500A6949710E4869621A3475B87B661C4","2150","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REFRACTOR_VALIDATION_REPORT.md","F871E1C1F0B7C22810116BB5D729326476E05769102E60735006816448E8D49D","5172","OK",""
