"FullName","Length","Extension","LastWriteTime"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\pack\pack-5e9733a6d4bdfe25a0f3a9165a0b669b4c51da41.pack","176092",".pack","16/09/2026 06:15:07 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\orders\OrderLifecycleView.tsx","68028",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\context\RepairerContext.tsx","45276",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\data\seedData.ts","33998",".ts","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\dashboard\ExecutiveDashboard.tsx","17826",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REQUIREMENTS.md","16191",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\device-lab\DeviceLab.tsx","15397",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CHANGELOG.md","13554",".md","16/09/2026 06:38:50 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE.md","12907",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\certification\E2ECertificationModal.tsx","12198",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\inventory\InventoryManager.tsx","11193",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\quality\QualityControlView.tsx","10828",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\portal\CustomerPortalModal.tsx","10373",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\orders\OrderList.tsx","10011",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CONTRACTS.md","9130",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\types\repairer.ts","8684",".ts","16/09/2026 06:52:36 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\audit\AuditLogViewer.tsx","8587",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\index","8531","","16/09/2026 06:54:09 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SECURITY.md","8373",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\layout\Sidebar.tsx","7614",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\TESTING.md","7185",".md","16/09/2026 04:58:45 p. m."
