"File","Extension","Lines"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\app.go",".go","26"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE.md",".md","199"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE_REFACTOR_REPORT.md",".md","59"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\backup.go",".go","67"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\catalog.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\chain.go",".go","62"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CHANGELOG.md",".md","188"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\compensation.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\compensation_test.go",".go","101"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\COMPONENTS.md",".md","144"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CONFORMANCE_MATRIX.md",".md","34"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CONTRACTS.md",".md","270"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\crypto_test.go",".go","77"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\dashboard.go",".go","16"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\engine_test.go",".go","170"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\EVIDENCE.md",".md","74"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\executor.go",".go","100"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\file_clean.go",".go","72"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\file_observe.go",".go","49"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\FINAL_IMPLEMENTATION_REPORT.md",".md","113"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\GOVERNANCE.md",".md","137"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\hashing.go",".go","24"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\HISTORIAL DE ACTIVIDADES.MD",".MD","17"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\index.html",".html","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\keys.go",".go","40"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger.go",".go","86"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger_test.go",".go","46"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger_view.go",".go","33"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\main.go",".go","106"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\MAP.md",".md","120"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\metadata.json",".json","8"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\operations_test.go",".go","150"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\orderValidator.ts",".ts","27"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\P0_EXECUTION_REPORT.md",".md","94"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\package.json",".json","23"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\path_validator.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\persistence.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\plan.go",".go","37"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\plans_view.go",".go","31"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\policy.go",".go","22"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\PROJECTS.md",".md","62"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\README.md",".md","41"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REFRACTOR_VALIDATION_REPORT.md",".md","97"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\registry.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REQUIREMENTS.md",".md","171"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\restore.go",".go","75"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\risk.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SECURITY.md",".md","151"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\security_test.go",".go","117"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\signing.go",".go","53"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SITEMAP.md",".md","94"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\TESTING.md",".md","161"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\tsconfig.json",".json","24"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\validation.go",".go","17"
